Name,Party,State,District,Incumbent,Winner,Raised,Spent
Neal Dunn,R,FL,02,Yes,Yes,653488.0,637580.0
Kristy Thripp,I,FL,02,No,No,145.0,145.0
Kat Cammack,R,FL,03,No,Yes,1122188.0,1090334.0
Adam Christensen,D,FL,03,No,No,216021.0,219108.0
John Rutherford,R,FL,04,Yes,Yes,1024912.0,1283701.0
Donna Deegan,D,FL,04,No,No,1013157.0,1013157.0
Al Lawson,D,FL,05,Yes,Yes,848498.0,695779.0
Gary Adler,R,FL,05,No,No,146909.0,146909.0
Michael Waltz,R,FL,06,Yes,Yes,2549667.0,1716768.0
Clint Curtis,D,FL,06,No,No,24310.0,22251.0
Gerry Nolan,I,FL,06,No,No,4467.0,5256.0
Stephanie Murphy,D,FL,07,Yes,Yes,3124692.0,1798549.0
Leo Valentin,R,FL,07,No,No,1045426.0,1031316.0
Bill Garlington,I,FL,07,No,No,11000.0,0.0
Bill Posey,R,FL,08,Yes,Yes,985268.0,1121834.0
James Kennedy,D,FL,08,No,No,138568.0,138790.0
Darren Soto,D,FL,09,Yes,Yes,1111750.0,945868.0
William Olson,R,FL,09,No,No,404406.0,401088.0
Val Demings,D,FL,10,Yes,Yes,1876047.0,1191020.0
Vennia Francois,R,FL,10,No,No,335480.0,332852.0
Kristofer Steven Lawson,I,FL,10,No,No,47.0,47.0
Daniel Webster,R,FL,11,Yes,Yes,691261.0,586965.0
Dana Cottrell,D,FL,11,No,No,62658.0,62380.0
Gus Bilirakis,R,FL,12,Yes,Yes,1604137.0,1548634.0
Kim Walker,D,FL,12,No,No,42802.0,33544.0
Charlie Crist,D,FL,13,Yes,Yes,2720646.0,3980695.0
Anna Paulina Luna,R,FL,13,No,No,3302944.0,3262236.0
Kathy Castor,D,FL,14,Yes,Yes,884651.0,1201653.0
Christine Quinn,R,FL,14,No,No,242144.0,241187.0
Alan Cohn,D,FL,15,No,No,2333053.0,2300197.0
Scott Franklin,R,FL,15,No,Yes,1663898.0,1638417.0
Vernon Buchanan,R,FL,16,Yes,Yes,3094611.0,3100766.0
Margaret Good,D,FL,16,No,No,3411924.0,3407845.0
Greg Steube,R,FL,17,Yes,Yes,759908.0,621200.0
Allen Ellison,D,FL,17,No,No,83481.0,78243.0
Brian Mast,R,FL,18,Yes,Yes,6128177.0,5301307.0
Pam Keith,D,FL,18,No,No,1639873.0,1632736.0
Byron Donalds,R,FL,19,No,Yes,3219579.0,2738685.0
Cindy Banyai,D,FL,19,No,No,214750.0,203430.0
Alcee Hastings,D,FL,20,Yes,Yes,607649.0,543316.0
Greg Musselwhite,R,FL,20,No,No,28955.0,27538.0
