Name,Party,State,District,Incumbent,Winner,Raised,Spent
Jake Auchincloss,D,MA,04,No,Yes,"$2,608,686","$2,150,904"
Julie Hall,R,MA,04,No,No,"$131,603","$129,378"
Katherine Clark,D,MA,05,Yes,Yes,"$1,788,706","$1,514,877"
Caroline Colarusso,R,MA,05,No,No,"$148,635","$146,972"
Seth Moulton,D,MA,06,Yes,Yes,"$1,289,805","$1,802,169"
John Paul,R,MA,06,No,No,"$300,220","$299,104"
Ayanna Pressley,D,MA,07,Yes,Yes,"$2,163,370","$1,748,432"
Stephen F,D,MA,08,Yes,Yes,"$905,614","$1,134,662"
Bill Keating,D,MA,09,Yes,Yes,"$708,680","$652,448"
Helen Brady,R,MA,09,No,No,"$28,233","$23,735"
John Bergman,R,MI,01,Yes,Yes,"$1,868,512","$1,733,466"
Dana Ferguson,D,MI,01,No,No,"$346,213","$339,788"
Bill Huizenga,R,MI,02,Yes,Yes,"$2,175,411","$1,883,610"
Bryan Berghoef,D,MI,02,No,No,"$751,576","$669,864"
Michel Creviere,3,MI,02,No,No,$281,"$1,207"
Hillary Scholten,D,MI,03,No,No,"$3,793,132","$3,765,942"
Peter Meijer,R,MI,03,No,Yes,"$2,975,972","$2,887,774"
John Moolenaar,R,MI,04,Yes,Yes,"$1,528,612","$1,036,160"
Jerry Hilliard,D,MI,04,No,No,"$23,117","$23,603"
Dan Kildee,D,MI,05,Yes,Yes,"$1,669,951","$1,504,094"
Tim Kelly,R,MI,05,No,No,"$71,106","$71,106"
Fred Upton,R,MI,06,Yes,Yes,"$3,616,380","$3,464,617"
Jon Hoadley,D,MI,06,No,No,"$3,116,491","$3,098,366"
Tim Walberg,R,MI,07,Yes,Yes,"$2,301,635","$1,586,358"
Gretchen Driskell,D,MI,07,No,No,"$1,712,840","$1,712,840"
Elissa Slotkin,D,MI,08,Yes,Yes,"$8,967,420","$7,419,974"
Paul Junge,R,MI,08,No,No,"$2,107,608","$2,097,131"
Andy Levin,D,MI,09,Yes,Yes,"$1,316,607","$907,237"
Lisa McClain,R,MI,10,No,Yes,"$2,266,287","$2,137,031"
Kimberly Bizon,D,MI,10,No,No,"$41,438","$41,246"
Haley Stevens,D,MI,11,Yes,Yes,"$5,776,924","$5,707,448"
Eric Esshaki,R,MI,11,No,No,"$1,298,612","$1,291,509"
Debbie Dingell,D,MI,12,Yes,Yes,"$1,630,498","$1,689,582"
Jeff Jones,R,MI,12,No,No,"$10,616","$9,657"
Rashida Tlaib,D,MI,13,Yes,Yes,"$4,014,411","$3,690,334"
Donald Eason,I,MI,13,No,No,"$34,156","$34,156"
Brenda Lawrence,D,MI,14,Yes,Yes,"$1,084,662","$789,570"
Vance Patrick,R,MI,14,No,No,"$39,670","$41,973"
